ID,Remarks,Time,Geometry,Latitude,Longitude,X,Y,Elevation,Ortho Height,Instrument Ht,Fix ID,Speed,Bearing,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use
1.0,,06/07/2025 04:06:48.000 GMT+07:00,POINT Z (-118.072876288 48.575515325 385.308),48.575515325,-118.072876288,420863.003,5380825.181,385.308,0.0,1.829,4.0,0.005,55.015,0.01,0.014,1.2,0.63,1.02,37.0,29.0
2.0,,06/07/2025 04:06:59.000 GMT+07:00,POINT Z (-118.072815345 48.575518037 385.461),48.575518037,-118.072815345,420867.502,5380825.419,385.461,0.0,1.829,4.0,0.008,338.166,0.01,0.013,1.2,0.63,1.02,37.0,29.0
3.0,,06/07/2025 04:07:10.000 GMT+07:00,POINT Z (-118.072750147 48.575525128 385.440),48.575525128,-118.072750147,420872.322,5380826.14,385.44,0.0,1.829,4.0,0.004,22.267,0.012,0.019,1.21,0.65,1.02,37.0,30.0
4.0,,06/07/2025 04:07:23.000 GMT+07:00,POINT Z (-118.072682660 48.575535698 385.453),48.575535698,-118.07268266,420877.317,5380827.245,385.453,0.0,1.829,4.0,0.007,357.314,0.01,0.013,1.2,0.63,1.02,37.0,30.0
5.0,,06/07/2025 04:07:38.000 GMT+07:00,POINT Z (-118.072602127 48.575555727 385.560),48.575555727,-118.072602127,420883.288,5380829.388,385.56,0.0,1.829,4.0,0.006,349.186,0.013,0.021,1.36,0.73,1.15,35.0,29.0
6.0,,06/07/2025 04:12:35.000 GMT+07:00,POINT Z (-118.072539555 48.575578002 385.501),48.575578002,-118.072539555,420887.938,5380831.799,385.501,0.0,1.829,4.0,0.013,292.711,0.01,0.012,1.38,0.76,1.14,35.0,31.0
7.0,,06/07/2025 04:12:49.000 GMT+07:00,POINT Z (-118.072470867 48.575614057 385.483),48.575614057,-118.072470867,420893.061,5380835.735,385.483,0.0,1.829,4.0,0.015,295.577,0.01,0.01,1.19,0.65,0.99,36.0,32.0
8.0,,06/07/2025 04:13:03.000 GMT+07:00,POINT Z (-118.072412720 48.575655295 385.456),48.575655295,-118.07241272,420897.414,5380840.259,385.456,0.0,1.829,4.0,0.005,270.792,0.01,0.01,1.19,0.65,0.99,37.0,32.0
9.0,,06/07/2025 04:14:40.000 GMT+07:00,POINT Z (-118.072415978 48.575673158 385.550),48.575673158,-118.072415978,420897.202,5380842.248,385.55,0.0,1.829,4.0,0.023,241.154,0.01,0.01,1.15,0.64,0.96,35.0,32.0
10.0,,06/07/2025 04:14:56.000 GMT+07:00,POINT Z (-118.072462232 48.575639492 385.636),48.575639492,-118.072462232,420893.737,5380838.554,385.636,0.0,1.829,4.0,0.009,164.393,0.01,0.01,1.15,0.64,0.96,36.0,32.0
